Rating,Date,Review Text,Review Title,Is Helpful,Not Helpful
1,"Mar 18, 2021","We were refinancing a loan with them, with 780+ credit scores and 13% debt ratio... it literally took over 8 months. The amount of money we lost in interest, the amount of time that we lost, waiting weeks for any response, only to need to send them the same paperwork over and over and over. No apologies, no explanations. Will not EVER use them again. Worst experience EVER",Amazingly incompetent!,14,1
1,"Mar 18, 2021",Credit karma states I had a 90% chance of getting loan. Wasted time applying only to get denied. Don't waste your time.,,21,1
5,"Jan 12, 2021",Easy Process,,0,1
1,"Jan 05, 2021","My loan was turned down three times because they said they couldn't verify my income. I supplied bank statements, paystubs, and letter from the CEO. Everytime it was declined customer service couldn't explain why the information I provided wasn't good enough.",No One Knows Anything,10,0
1,"Dec 31, 2020","Even though credit karma said i had great approval odds, even with both my husband and my income and 685 and 702 credit scores we were denied. Had to send them multiple pay stubs different ways, wouldnt accept most of our submits (couldn't see both pages of a two page document in the same picture etc.) Would not recommend.",Bad approval odds,4,0
5,"Nov 15, 2020",I have had 2 loans with Sofi and both loans were approved in minutes with absolutely no hassle. I received very low interest rates as well. Outstanding company that I would recommend to anyone.,Outstanding,7,1
2,"Oct 14, 2020",I applied. I was approved. Only needed to send copy of voided check. Did so and then they told me they don't deposit into business accounts. I do all my finances from that. What a bummer.,Bait & Switch,2,1
5,"Sep 14, 2020",I go a recommendation from CreditKarma to use Sofi to consolidate my debts with a personal low interest loan. They were right it was quick and easy and I got a lower finance rate then the others like Upgrade for example because I did have an excellent credit rating. I would refinance with Sofi again if I needed to do so. Thank you Sofi you freed up a $927 monthly loan payment that goes back into my checking instead of paying another loan.,I consolidated 2 loans with Sofi.,14,2
2,"Sep 02, 2020",Applied mortgage loan and after two months they changed the loan processor and requested to pull credit scores (hard inquiry) to restart the application.,,1,0
4,"Aug 27, 2020",SoFi is really is easy to work with and they offer a lot of services that are helpful. Since becoming a borrower I have refinanced to adjust for living in a more expensive part of the country and I have started using their savings and investing accounts. There loan rates are not the abosulte lowest but no underwriting / origination fees are really helpful along with no prepayment penalties.,Great Service and decent rates,18,2
1,"Aug 16, 2020","This is crap from lenders, I do not recommend running your credit with this institution",,21,7
4,"Aug 15, 2020","I wanted to get a loan to refinance credit card debt at a better interest rate. I decided to apply for the loan before my credit moved into the excellent category (as I wanted to try for a better rate) but decided to go ahead as part of my debt paydown plan. The application process was very easy and not tedious. It did take longer to get approved than stated, but that was partially due to needing to use a more recent pay stub, and verify my income. Customer service was very knowledgeable, and helped me make a slight adjustment to the loan to get the terms I wanted. Interest rate is not fantastic, but it beat some of the other competitors who charge fees, and it is much better than the 27% or more I was paying on a discover card. Once the loan approved, the funds were deposited the next day, and I immediately began paying off the credit cards; which has already greatly improved my credit score, and put me in a better position to refinance my home mortgage soon! I spent months looking at loan options and offers from other lenders, and I would definitely recommend SoFi to others.",,97,14
1,"Jul 15, 2020",As well as the review I'm leaving--- scroll through other reviews the advertised interest is NOT what you will get,Deceptive interest rates,1,0
1,"Jun 22, 2020",I had a great credit score but still received a loan with a higher interest. Check around,interest is too high,64,2
1,"Jun 12, 2020","I had to apply multiple times because SoFi gave me bad information. I wasted a week dealing with these incompetent morons. They promised me calls back and never called. SoFi is SoBad. I went to LightStream and was approved in 15 minutes on a Friday afternoon and will have funds in my account on Monday morning. I even got a better interest rate. Don't waste your time with SoFi. All you will get is horrible customer service and an unessecary inquiry on your credit report. Check out LightStream, they are amazing and have better rates and better customer service.",HORRIBLE TO DEAL WITH,0,0
1,"Jun 06, 2020","This process was painful and dispjointed. They didnt appear to have their process down. They rpeatedly asked ofr additional information which they could have asked ofr in the beginning and then declined me by providng the reasons that were easily available on my credit report. Waste of time and resulted in a wasted "" hard enquiry"" to my credit. They requested additional informaiton approximately 10 times - a good risk manager doesnt do that - either their people are inexperienced or their process needs work. If the purpose of my loan is to consiolidate debt - then its obvious I want ot pay donw and consolidate some of my balances. NEVER again",A nightmare,1,0
1,"Jun 06, 2020","This is a very unprofessional outfit. They pre-approved me for a mortgage. Then the loan officer disapperared. Then a couple of account officers appeared who knew very little about underwriting. I paid $500 for their appraisal and then they start questioning everything. The account officers could provide no answers. Turns out they work out of their place of residence, have no ability for f2f with their colleagues and are just gladhanders. Their supervisor shined me off. I ended up letting the process go because I don't like dealing with inexperienced fools. Went to my local VU, got great service and funded in 35 days. I had a line of credit with them also that I paid off after the mortgage incident.",Don't Waste Your Time,0,0
1,"Jun 04, 2020","I have a 716 credit score, therefore I though I could not go wrong with Sofi. Now, they ask tons of information to complete the application; (not necessarily a problem,) but the more you give them, the more they need... Giving you the feeling that you will be approved.. However, I was denied because of my debt ratio..52% at the moment.. The irony here, lies in the fact that they are offering a consolidation loan! I'm not upset that my application was denied, but more so on the WASTE of time... These people do not care about running your credit or you as a person... THey just want to approve loans and get heir commisions... I spoke to several of them on the phone.. I have an existent loan with Lending Club.. They are not the cheapest, but they are not a hassle like Sofi turned out to be... Anyway, you have been warned.... You just going to lose tons of time and effort, only to get a hard inquired on your credit!",Don't waste your time!716 Not approved!,1,0
3,"Jun 01, 2020",Honestly probably one of the easiest personal loans I've ever gotten. Money was in my account within three days. The only thing that I'm not really happy about is I had a very high credit score around 786 and I got a higher than usual interest rate which didn't make me happy,,91,4
5,"May 21, 2020",I am finishing up paying my second loan with SoFi and I can honestly say they have been nothing but GREAT to work with. I would refer them and use them again if needed!!! All the BEST to SoFi in the coming years for ALL you do for clients!!!,GREAT to work with!,18,6
5,"May 20, 2020","Easy, quick and fair","Easy, quick and fair",6,7
5,"May 11, 2020",I've had two loans with them and both times the process was very fast and simple. Everyone I dealt with during the application process was very professional. The rates were very good and made it easy to consolidate higher rate debt.,Easy application with a great rate,14,4
1,"May 04, 2020","CK had me listed at 725/730 for credit score and my FICO is much better...... Yet I get a personal loan response of 17%!!? Although I'm annoyed, I'm even more embarrassed that this is how people are prayed upon! Anyone who may happen to read this, take the extra minute to use an online calculator to see how much money an interest rate that high would cost you.",,1,0
5,"Apr 04, 2020","I have had nothing but excellent experiences with SoFi. I have had a personal loan, student loan, and checking account through them. If you have any issues, you can get fast support via the Facebook group for members. They have treated us to local events for free like TopGolf. I highly recommend them.",Excellent experience with everything SoF,17,5
1,"Mar 31, 2020","Applied for a personal loan to consolidate 3 other personal loans. My credit score at the time was 770. SoFi hit my my three credit reports with (7) different hard pulls. I tried for two years to have those redundant hard pulls removed. I went the normal route and went direct to the credit reporting agencies and disputed the numerours, unnecessary har pulls and SoFi responded to them that the pulls were legitimate. I contacted SoFi direct, for weeks, back and forth by email and they NEVER rfesolved this. I have never ben late on a payment, have 207K income and an 820 creedit score. SoFi purposely, malicously and illegally refused to remove those absurd amounts of hard pulls for only one appllication as it dropped my credit score 20 points and hurt me for loans I got a few months later. They did not removedthose hard pulls and put that many to hurt my credit score and subsequently I lost money with other loans. My credit was perfect then, and is perfect now. Had to see and feel SoFi's impact on my credit score and money for two years until those fraudulent hard pulls aged off of my credit reports. SoFi, you can go F%$K yourselves. You won't be around for long during this time of economic turbulence with malicious practices like I and undoubtebly many others were forced to endure.",Fraud,2,0
2,"Mar 18, 2020",Can't even get a hold of a real person if you have questions.,Waste of time,1,0
3,"Mar 16, 2020","No matter how high your credit is, their APR is not as advertised. In fact it is actually higher than other lenders. Also, if you do get a loan with them, make sure you read the fine print, as there are many ""non-kosher"" clauses in their agreement that will make you think twice.",I wouldn't recommend,260,3
2,"Feb 19, 2020",Worst experience I've ever had. It's a joke when the company you apply with doesn't even understand the industry you work in and have been working in for over 13 yrs. Then when you call to find out the reps that they have to speak with you lie about why it was denied. Maybe they should train their employees better to not insult the consumer. Will never use SOFI again and will make sure others know as well that they don't do their research.,,2,0
1,"Nov 29, 2019","Just got denied by Sofi for very vague reasons. 814 credit score, less than 15% revolving debt with income of $10k a month. When I called, I was told i was declined because I had too much revolving debt and also had 4 NSF's with previous loans. Every single one of those was because Sofi was charging an already closed account. The person I spoke with said she couldn't see my credit report so she couldn't validate the reasons the loan was declined. Perplexing.",Consolidation loan,4,1
4,"Nov 20, 2019",I've had a few personal loans with SoF over the yearsi. All easy to apply for and get funded (ranged from $47 to 28K). Their rates have become less attractive over the years which is dissapointing considering rates have been declining during the same time.,Very quick and easy application and fund,114,9
1,"Nov 04, 2019","They gave me high approval odds at a reasonable rate, but it wasn't approved. From the looks of their ratings, it happens often.","High approval odds, but wasn???t approved.",0,0
1,"Oct 24, 2019","So I attempted to prequalify for a $5,000 SoFi personal loan and was denied. They sent me an email that stated that I have a 768 FICO from EX. After my application I received the message below from them. Reasons for our decline We consider many factors when reviewing an application and want to be transparent about our decision. Minimum score under credit scoring system not met We regret that we are unable to accept your loan application.???Your score under our credit scoring system does not meet minimum requirements to fund a loan.???We have provided several resources below that may help you improve your credit score.???Please contact a credit reporting agency (like Experian) if you would like to see your full credit report. We hope that you???ll find a good option with our partner, Fiona, but you are always welcome to consider reapplying with us when your situation changes. And in the meantime, you might like to take advantage of SoFi Relay to help you track all of your finances in one place. So I guess I'm curious who would be approved. I'm sorry but if my 768 from EX is denied for being too low of a score I think that is quite odd. It's by no means a perfect score but it's pretty close I think. No late payments No derogatory accounts No Charge-offs Credit usage is at 1% 5 open accounts Oldest account 10 years old average account age 5 years 3 hard hits last 2 years with the most recent one Feb 2019 and the other 2 over a year old No public records No bankruptcy Resided at current address for 7 years Income over $50k Employed same job 7 years Am I missing something? I cannot reasonably find a reason I was denied. Have other people been approved with SoFi? Maybe you can provide some data points?","Very confused, Denied with a 768 EX FICO",1,0
1,"Oct 24, 2019","So I attempted to prequalify for a $5,000 SoFi personal loan and was denied. They sent me an email that stated that I have a 768 FICO from EX. After my application I received the message below from them. Reasons for our decline We consider many factors when reviewing an application and want to be transparent about our decision. Minimum score under credit scoring system not met We regret that we are unable to accept your loan application.???Your score under our credit scoring system does not meet minimum requirements to fund a loan.???We have provided several resources below that may help you improve your credit score.???Please contact a credit reporting agency (like Experian) if you would like to see your full credit report. We hope that you???ll find a good option with our partner, Fiona, but you are always welcome to consider reapplying with us when your situation changes. And in the meantime, you might like to take advantage of SoFi Relay to help you track all of your finances in one place. So I guess I'm curious who would be approved. I'm sorry but if my 768 from EX is denied for being too low of a score I think that is quite odd. It's by no means a perfect score but it's pretty close I think. No late payments No derogatory accounts No Charge-offs Credit usage is at 1% 5 open accounts Oldest account 10 years old average account age 5 years 3 hard hits last 2 years with the most recent one Feb 2019 and the other 2 over a year old No public records No bankruptcy Resided at current address for 7 years Income over $50k Employed same job 7 years Am I missing something? I cannot reasonably find a reason I was denied. Have other people been approved with SoFi? Maybe you can provide some data points?","Very confused, Denied with a 768 EX FICO",2,0
5,"Aug 26, 2019",I didn't expect to hear anything for 2-3 days. Loan was funded in 13 hours. Seamless process,"Easiest, quickest process EVER!",19,9
1,"Jul 26, 2019","Borrowers beware! They lack competence. Terrible experience with this company. I can walk into Chase Bank and borrow whatever amount I need in under 15 minutes. I gave SoFi a test by requesting a small 5K loan in order to try their platform. I did not need the 5K fortunately. The amount of process and verifications they had me go through, I felt that I was being processed on a 50 million $ plus loan. What a shame ,for a company to advertise the way these guys do. To top it off, I simply requested the loan processor call me. My request was refused. I requested my application be cancelled.",Horrible!! 850 credit score,2,0
5,"Jun 01, 2019",Easy application process applied on Memeorial day Monday received a call that same day couple of quick verifiying questions then I was approved. Excellent custoemr service as well. Funds in my bank on Wednesday morning. Very pleased so far! SoFi makes debt consolidation very easy with NO FEES! Thank you!,Good rates and NO FEES!,28,7
1,"May 23, 2019","Rates are very high even with excellent credit score, easy process to apply ,get loan funded and get your money deposited . Had to speak with customer service representative on several ocasions with simpple questions, I should say , they are not professional , can not answer the questions , do not have any answer , so If you need to know something - you are on your own. I will not deal with them againe.",Personal loan to consolidate cc debt.,88,4
5,"May 16, 2019","The process was fast, easy and painless. The customer service reps were friendly and very helpful. Only minor complaint is the interest rates are a little high.",Good,27,1
1,"Apr 11, 2019","DO NOT WORK WITH THEM! Absolute worst customer service!!! With out any communcation they reported me as delinquient! They never contacted me or anything. When I called to re-set up my auto pay they would not even let me. They said I needed to call back at a later time? What company does not let thier customers set up auto pay???? I called customer service and the woman had so much attitude and was completley insentive to the situation. The next day, I paid my loan off in full to never speak or deal with them. AVOID AT ALL COST!!!",Horrible company to work with!!!!,70,5
1,"Apr 09, 2019","766 fico. 100k a year income. No rent/mortgage. No car payment. No missed payments. And they still denied me for a 10k loan. Just wanted to get out of my high interest rate, one main loan. They beat me up over proof of income and then tell me the denial was because of inquiries and ""to new loans"". No ****! I'm trying to be creative and consolidate. Dave Ramsey must be running this place. Trash! Trash! Trash!",SoFi is Trash!!!!???,2,1
5,"Apr 08, 2019",The loan experience I ever had.,Fast money.,0,0
5,"Mar 24, 2019","This review is overdue - thought will spend some time today after a year. I applied for $100K Personal Loan (in Jan 2018) and got it approved very quick via online. My credit score when applied was create 780+ and debt to income ration also was good when applied. They followed over phone and clarified few questions about Employer and Tax returns. Money got funded in a week. Infact I closed the half of the loan (50K) in 6months wihtout any penaty. I never thought will get $100,000 loan with such simple and straightforward procedure. Best personal loan experience EVER!","Simple, Easy, No Fees, Straight Forward",30,0
5,"Feb 18, 2019",Smooth and fast process,Personal loan to consolidate my bills,7,3
5,"Feb 18, 2019",Very quick an smooth process,,3,2
5,"Feb 18, 2019","The loan process was very smooth and quick, the interest is good and the payout time was great.",Personal loan to consolidate my bills,3,0
1,"Feb 02, 2019",Not worth it! Complete waste of time. If you have income as any airline pilots/flight attendants no need to apply because they do not understand our pay rate/perdiem etc.,Horrible,0,0
5,"Jan 30, 2019",I applied for a $50000. In 2 hours after applying I received a phone call and text saying I was approved. My loan was funded 24 hours later!!! Very pleased!,"Simple application, quick approval",20,1
5,"Jan 25, 2019","Incredible company - Highly recommend! Applied for a 37k Personal Loan yesterday at 9AM. I was contacted by my loan representative (who did a great job) at 9AM asking for additional documents, which I promptly supplied. I received a text at 2PM stating my loan documents were ready for my signature. I was advised at 5PM that my loan was approved and funded. Checked my bank account this morning and the funds were there. All of this plus a great low interest rate, no fees or prepayment penalties. Anyone looking for a Personal Loan should look no further that SoFi. 745 FICO and 160k/year",Applied and funded in the same day!,9,2
1,"Jan 24, 2019","I was pre-approved. Applied. Went through a tedious process of daily request for more documentation. Took a hard hit inquiry on my credit and eventually was declined. A rep told me I can reapply within 30 days to avoid them running another hard inquiry and suggested i request a different loan amount. I request 5 different loan amounts, all of which were declined instantly by an automatic system. It didn't matter if I only asked for $2000, declined! The company refused to assist me and said they cannot override their automatic systems. I'm guessing robots are running this company or their employees are unable to use their own discretion and do simple math. Also, they sent me documentation showing my credit score is 750 with flawless payment history which made their decision even more puzzling. My suggestion is don't waste your time with this company.","Stressful, Tedious, Poor Service",1,0
1,"Jan 21, 2019","Even though its Illegal (In come states) for one to be turned away due to an outstanding medical bill, these folks could care less. I was attempting to consolidate All of my credit cards and this one Medial bill all into one easy payment, but they treated me like nothing more thamn a number, not a human. As far as Im concerned, They can kiss my ***. aS i WAS APROVED BY One Main Fincial (even though their intrest rates was way up there (32%) Altough I didn'd accept it due to the high intrest rate, but Its clear to me, Im not all that bad. Just bad lenders.",Was Rejected due to 1 Bad medical,0,0
1,"Jan 11, 2019","Just like all the others you see on line complaining BEWARE before you apply with this company. Everyone gets pre approved with a soft pull on their credit but then after they run you and tank your credit score that's when rates change they ask for stuff they never did in the beginning and then deny you. Do not get your hopes up just because you get pre approved. I was pre approved for $100,000 so then I send them everything they ask for and they deny me all together. Didn't even offer me a smaller loan just nothing and all my information was the same as the pre approval. A reputable company would not pre approve you and then deny you after you give them everything they ask for. What's the point of a pre approval? How can a company pre approve you for a loan and then for no reason deny your loan? Well so many people all over have said the same thing. Save your time and credit and go somewhere else you will save yourself a lot of headache. This company are liars and completely garbage.",This company is garbage.,2,0
5,"Nov 27, 2018","Application was easy, quick answer on loan with great rates and quick on getting money!",GREAT!,5,0
5,"Nov 16, 2018","From applying to funding, a total of 3 days!! Applied this Wednesday, Friday late afternoon, money was in my bank account. Seamless and easy, asked for a few documents, got a call the next day and was approved. The easiest and best experience I ever had with a loan. They were life savers for me. I'm recommending to my friends as we speak... Excellent service and process! A+++",Go with SoFi! Highly recommended!!,0,0
1,"Nov 01, 2018",So I am declined because I want to consolidate debt and have debt... what?,debt consolidation,0,0
1,"Oct 29, 2018",make sure your credit has been in order for 20 years and you have at least one house and multipule forms of income.,"Credit is the first..,to say the least",0,0
1,"Oct 29, 2018",Don't bother with this lender unless your credit is prestine.,,0,0
5,"Oct 24, 2018",They always have the best rates by a large margin and their application process is super simple.,Best rates and easy process.,5,0
1,"Oct 17, 2018",After I submitted the application online and then I was asked for an endless number of documents! It seemed that every time I submitted the documents they requested they asked for more documents. It took me a while to get copies of the last documents I was asked for but by the time I submitted them they said that my application was closed! They were asking me to reapply! Imagine having to go through the whole process again!,Horrible Experience!,0,0
5,"Aug 09, 2018","Applied on a Tuesday late afternoon $12,000 and was approved. It's now Thursday morning same week and funds are in my bank. Credit score was a 750 very easy application process.",Very East and Quick,1,0
1,"Jul 28, 2018","BEWARE! Before you even put in your information to check for a loan know they will NEVER delete it from their system. I didn't even get a loan from them I just checked my rate and now they have all of my personal information and are refusing to delete my account off their website. They said federal regulations MANDATE that they store my information with them indefinitely. Their customer service was also incredibly rude when I asked for information about this privacy law. She copy pasted their ENTIRE FAQ into the chat instead of merely the relevant portion which would have told me to contact their privacy team, which are EXPERTS in the subject. I don't know if she was not smart enough to skim for the relevant information or if she just wanted to be unhelpful and this was the only way she could get away with it? Either way BEWARE merely checking your rate allows them to store your information forever. It's funny the whole reason I wanted to delete my account was to make a new one with my changed name due to marriage and I find out how they store my information. What is worse is this clearly aggressive employee now ALSO has access to all my information. Super. :/",Information Theft,1,0
5,"Jul 27, 2018","I searched this a dozen times during the approval process for a $35k personal loan, so thought this may help others: 7/19/18 (Thursday) - Preapproved, submitted application 7/19/18 (Thursday) - Request for employment verification 7/20/18 (Friday) - Employment verification submitted by employer 7/23/18 (Monday) - Request for tax return 7/23/18 (Monday) - Tax return submitted 7/26/18 (Thursday) - Called customer service to check on status, they said it was moving and apologized it was longer than the quoted turnaround time for approval. Said it should be approved today. 7/26/18 (Thursday) - Request to sign final application documents 7/26/18 (Thursday) - Signed final application documents 7/26/18 (Thursday) - Status on website changed to ""your loan will be funded in a few days"" 7/26/18 (Thursday) - Notification that loan has been funded 7/2718 (Friday) - Money in account Pretty quick and painless.",Here was the turnaround time...,115,6
5,"Jul 16, 2018",Very easy process to navigate.,Very easy process to navigate.,4,4
5,"Jul 12, 2018","I applied for and got 2 signature loans the last 6 months. These loans total $70,000. I had no problems through the process in either case. Each were approved in a week funded a week later. Nothing but thanks and my appreciation.",2 - personal signature loans,7,2
4,"Jul 11, 2018","This was a stressful process but good if you can follow through. I applied on a Saturday through CK since they said I had a fair chance of approval. A few hours later I uploaded my license, banking info and paystub, got a text they received my documents and would contact me with any questions and then waited. The status was ""in review"" then I got an email asking for employment verification and the last paystub for the last two years, so I uploaded and had my job verify my employment, then I waited. I didn't hear anything for a few days so I was worried I was denied. My loan status was always ""in review"". I kept checking my account and finally saw a message to sign the documents, I still didn't know if it went through or not because I didn't get any communication via email or text, so I signed the documents and then waited and status was still in review. I didn't hear anything for a day so I reached out through chat where they told me they needed my bank statement... But they already had my banking info when they linked to my account. So I uploaded a bank statement and waited. Finally I got a email saying I would receive a call from them so I waited and next day I received the call where they verified my name and address welcomed me to the Sofi family and told me my loan would be funded. I got a text a few hours later that my loan was funded and then this morning money was in my account. FICO 710-720, 80k-85k income, dti 38%, maximum they said I could borrow was 35k and that's what I got at 11% which is better than the 17% I was paying. 10 days total from application to funding. First payment due in 30 days I'm still shocked I got the loan.",Stressful experience!,35,4
2,"Jul 09, 2018","When you call them, they ask for last 4 of your social sec number. Once I'm put through to the customer service rep, its nothing but a headache. They will ask you a million questions to verify your idenity (which I understand for security purposes but this is 2018. You're telling me your phone system cannot even pull up my name?!). They dont have ANYTHING at on their screen when you connect to them. Spent 2 minutes just trying to spell out my name to them. Then once everything is varified , they want you to verify your checking account you will be paying with, EVEN THOUGH I have already used it and there is only ONE in my account. Are you kidding me? I told the rep to just forget it, I'll pay online.",Headache JUST trying to pay the bill!,16,8
5,"Jun 29, 2018",This company is amazing. Fast does not accurately describe them. Super easy. Minimal documents. If you are like me frustrated with the endless loop of maxed out credit cards and need a way to better manage paying off debt. This company is the solution. Very pleased and highly reccommend them.,Personal Loan,10,3
5,"Jun 29, 2018",This is the most amazing and well suited for my needs company.,Personal Loan,1,1
1,"Jun 28, 2018","Worst kind of customer service I have ever seen ! I literally will suggest and recommend everyone to stay away from this company. They don't care at all, why even have a business when you don't care for the customers. They have been dragging me for days now and every time I reach their customer service, they have an item that they need from me. They don't even let you know what is needed for a pending loan application. I was told that someone will call me in the evening to help me out with any questions, but it is a week later and i have not heard anything. Stay away and find some other real bank/union to help you out. I would give this company a ZERO rating if i could",Worst company and worst customer service,0,0
5,"Jun 28, 2018","I did the inital rate inquiry and was pre-approved in just a few minutes. I went ahead with the full application, which only took another ten minutes or so; it took me longer to dig out my most recent pay stub than it did to fill out the application. I finished the application about 9:00 PM on a Friday night. By noon on Saturday it had been approved. Sunday afternoon I got a text that SoFi needed to talk to me before funding the loan. I called and had a nice chat with Dante who welcomed me to the family. The money was in my account Tuesday morning.",Super quick and easy,9,1
5,"Jun 23, 2018","Just awesome. Super fast funding, super easy application process. Would definately recommend!",FAST,3,1
